FEATURE,EXPERIM,FINT1_f1_mean,FINT1_f1_std,FINT2_f1_mean,FINT2_f1_std,rel. Diff
1,1.0,84.5753521941113,0.5287431354115232,85.34788747987727,0.6025591076314606,0.9134283993200536
1,2.0,84.94612884850007,1.0787424317389827,85.21689371436543,0.9151460418773705,0.3187489171499081
2,1.0,80.9355584994288,1.7767586180955814,81.51340238940648,0.8612615911357333,0.7139555230001459
2,2.0,74.61397682023068,2.7208973717790426,76.17865886963062,0.7906305959284592,2.0970361265822572
3,1.0,85.45703947983802,0.3205495976914882,85.43925908439786,0.5377563828835626,-0.02080623848939954
3,2.0,84.2633914754468,1.4257431385466643,83.55842998017809,0.3933703620666306,-0.8366165696928082
4,1.0,84.61351889432402,0.5341068677871692,84.97336319800118,0.183149469626498,0.4252799178894603
4,2.0,77.60679866961206,1.6291162412213072,78.77623349747508,0.5925010577019544,1.5068716245358045
5,1.0,78.17356512459948,0.6015894078134248,80.26955485965803,1.114845404637265,2.6812001367953355
5,2.0,71.89415540129897,3.7531092078471895,75.68223240738018,1.3460771021942146,5.268963777287475
6,1.0,80.275924381196,2.3460051124266936,82.33680923140028,1.1452723756891015,2.5672514718335906
6,2.0,74.71239026723661,2.693301359924602,74.1058200763323,0.8289869726106883,-0.811873624621964
7,1.0,76.8894176992178,1.0682503740935574,79.00095817201307,0.2759300503904386,2.746204270990012
7,2.0,75.55927812582388,0.7785883984369538,75.44162563138636,1.7951136468584625,-0.1557088650868299
8,1.0,85.9912477881982,0.44191333387052745,87.06951317731225,0.6971012218313516,1.2539245758706585
8,2.0,84.44522055977515,1.2330325069973402,85.68014786443803,0.5712407480745855,1.4624004727286173
9,1.0,76.88520070615908,0.6187676465450597,76.01828739049854,1.0842075939413758,-1.127542501935738
9,2.0,84.11900664659316,0.6318880884371785,83.69832712840677,0.883227467451918,-0.5001004350345918
10,1.0,77.89473422944468,0.7643012463677911,79.76535387862923,0.9651613432143343,2.4014712517979704
10,2.0,70.8115109127791,3.0154269748700386,74.58042641958453,1.8153564786802214,5.322461642497258
11,1.0,83.77653163198357,0.36135196467927777,83.95935019356315,0.3278696019370982,0.21822168812463136
11,2.0,78.46813771662235,0.9508921325447269,78.4263158638664,0.7824160258247875,-0.05329787856948881
12,1.0,78.59014622187235,0.7978663702823773,79.77076984453826,1.2167948353457783,1.502254009469372
12,2.0,70.92930389670818,3.3950614697244723,74.45207772231397,1.7066498948875555,4.96659861590618
13,1.0,81.45638363780375,0.6770611196664846,84.68686367723757,0.9175558019829831,3.965901621410252
13,2.0,80.59428466978511,0.9653269892846319,81.7287219060499,0.8539604492891638,1.407590179518138
