DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev
0.0,Fr,Fr,89.3212669683257,88.80472318146371,87.6112099644128,88.70967741935479,88.61171938338924,0.38783077890778805,0.6227606112366035
0.0,Cz,Cz,90.60739526783999,91.02346480279499,91.53955664022769,90.62593590895469,90.94908815495435,0.1438415802610431,0.3792645254450291
0.0,Hng,Hng,90.4727423192303,91.2152269399707,91.5792689135525,91.49134625349771,91.1896461065628,0.18935858242914821,0.43515351593334073
0.0,Swd,Swd,96.926853215513,96.884581149243,97.0608339029391,97.10731562839369,96.99489597402219,0.008446291677615098,0.09190370872611778
0.0,Nor,Nor,92.20265188996629,92.71012876406769,91.8235112619561,92.10706932052159,92.21084030912792,0.10253705507596879,0.3202140769484827
0.0,Rus,Rus,90.09975062344101,90.2533383252215,90.61314404601629,89.8547094188376,90.2052356033791,0.075674714116276,0.2750903744522443
0.0,Rom,Rom,92.5132341820015,92.58152526958551,94.074356046187,93.1653302787323,93.08361144412657,0.3914183955639445,0.6256343944860644
0.0,Alb,Alb,95.7738672578633,94.7788951646232,95.0657894736842,95.69669295696691,95.3288112132844,0.17624998905714262,0.4198213775609129
0.0,It,It,91.9764327798607,90.6443163960188,92.1393244238661,90.71729957805901,91.36934329445116,0.4780633986217166,0.6914212888114717
0.0,Prt,Prt,89.624776652769,90.14953714692611,88.94348894348892,90.23115344407009,89.73723904681353,0.2641570429439532,0.5139621026339911
0.0,Spn,Spn,89.73025281238598,89.588086946079,89.67096540918399,90.06750241080029,89.76420189461231,0.033213315153954454,0.1822452061206397
0.0,Grk,Grk,88.8706075919614,88.980846535824,88.45612388549971,87.68847204084051,88.49901251353141,0.2572655549091199,0.5072135200377844
0.0,Lit,Lit,90.8200734394124,91.147174034695,89.44209824405421,90.4431028590955,90.46311214431428,0.4095579480221546,0.639967146049041
0.0,SCr,SCr,94.6745562130177,94.39014593653759,94.6490066225165,94.04346659511671,94.43929384179711,0.06460563987884312,0.25417639520388813
0.0,Trk,Trk,90.2793296089385,90.7306434023991,90.69459757442108,89.32754880694141,90.25802984817503,0.32005089978493434,0.5657304126392131
0.0,Arm,Arm,91.0804182264102,92.6409185803757,92.1014964216005,91.7934711926128,91.9040761052498,0.3181393406329132,0.5640384212382284
0.0,Est,Est,91.53916303576851,91.75427746856309,90.47195013357,90.82834125180742,91.14843297242726,0.2699513191936194,0.5195683970312469
0.0,Wel,Wel,92.6885434657455,92.3291168620169,92.4963105914405,92.71811312113572,92.55802101008466,0.024717720056095238,0.15721870135608942
0.0,Grg,Grg,85.6381798002219,85.75800633949059,85.65999776461379,85.02872592091919,85.52122745631138,0.08288926277394394,0.28790495441020797
0.0,Fin,Fin,89.95044598612479,89.3356464945402,89.5061104938895,90.11387685175849,89.72651995657824,0.1003876563801279,0.3168401116969376
0.0,Brt,Brt,92.0174784184162,92.8728552573691,93.014584932558,92.29939603106119,92.55107865985113,0.16661290171071869,0.4081824367984476
0.0,Eng,Eng,80.283778060144,81.0214239342133,80.7918673087212,81.172806358071,80.81746891528738,0.11333592977787904,0.33665402088476387
0.0,Bsq,Bsq,93.63763390777801,94.29758308157,94.93789988709,93.93852341281239,94.2029100723126,0.2346526136052457,0.48440955152148446
0.0,Sln,Sln,92.82117343951279,93.20122992825408,93.573203929459,92.77223014740841,93.09195936115856,0.10477204420972273,0.32368510038264464
0.0,Pol,Pol,90.30791485844179,89.80016652789341,90.61297009179741,90.3296050678016,90.26266413648355,0.08578675410085554,0.2928937590677813
0.0,Blg,Blg,92.7763108261033,93.4921391138637,92.6795443288756,92.717516289766,92.91637763965215,0.11168896025397881,0.3341989830235556
0.0,Ukr,Ukr,91.7380051761895,92.02998619057009,92.28003595326071,92.47054124226078,92.12964214057027,0.07553532916719599,0.2748369137637737
0.0,Dut,Dut,90.20574367766821,90.2790942601369,91.26958746402299,90.8470847084708,90.65037752757472,0.18941629639358581,0.43521982536826814
0.0,Ltv,Ltv,92.1621019817412,91.5592422374173,91.6732040793455,91.49632975719929,91.72271951392582,0.06837146829263888,0.26147938406811133
0.0,Tat,Tat,98.2243977349073,98.54085603112841,98.0466888994759,98.27385570209461,98.27144959190156,0.031329216242356406,0.17700061085306007
0.0,Grm,Grm,86.3124335812964,85.5186721991701,86.5380538477846,87.2727272727272,86.41047172524456,0.39116992488295865,0.6254357879774379
