,shared ES-features,DIST,LAN_1,LAN_2,mean,std (over 4 iter),dist f1 std (over 4 iter),dist. f1 mean,dist. averg.f1 std dev,Δ mean,Δ std
0,11,1.0,Est,Tat,76.18,5.37,1.56,71.03,11.8,5.15,3.81
1,11,1.0,Tat,Trk,68.3,2.06,1.56,71.03,11.8,-2.73,0.5
2,11,1.0,Trk,Tat,61.96,6.77,1.56,71.03,11.8,-9.07,5.21
3,11,1.0,Arm,Tat,74.24,3.85,1.56,71.03,11.8,3.21,2.29
4,11,1.0,Tat,Arm,52.84,2.4,1.56,71.03,11.8,-18.19,0.84
5,7,2.24,Tat,Ukr,58.36,1.17,1.65,69.96,10.29,-11.6,-0.48
6,5,2.65,Tat,Swd,72.38,2.54,1.91,67.56,12.21,4.82,0.63
7,5,2.65,Tat,Nor,75.96,1.71,1.91,67.56,12.21,8.4,-0.2
8,5,2.65,Tat,Hng,72.77,0.62,1.91,67.56,12.21,5.21,-1.29
9,5,2.65,Tat,Cz,68.97,1.74,1.91,67.56,12.21,1.41,-0.17
10,2,3.16,Tat,Eng,51.23,2.13,1.44,69.33,8.06,-18.1,0.69
11,2,3.16,Tat,Grk,66.05,0.84,1.44,69.33,8.06,-3.28,-0.6
12,2,3.16,Eng,Tat,62.63,6.2,1.44,69.33,8.06,-6.7,4.76
13,2,3.16,Tat,Dut,70.75,0.58,1.44,69.33,8.06,1.42,-0.86
14,2,3.16,Dut,Tat,70.65,4.51,1.44,69.33,8.06,1.32,3.07
15,1,3.32,Grm,Tat,70.35,4.44,2.12,67.72,8.34,2.63,2.32
16,1,3.32,Tat,Grm,66.84,2.09,2.12,67.72,8.34,-0.88,-0.03
17,1,3.46,Fr,Tat,64.7,5.92,2.12,67.72,8.34,-3.02,3.8
18,1,3.46,Tat,Fr,63.99,1.7,2.12,67.72,8.34,-3.73,-0.42
